argument_id,proposal_id,aspect_name,aspect_description,argument_type,argument
28,7,Conciencia medioambiental,La importancia de fomentar una mayor conciencia medioambiental entre los ciudadanos.,attack,"Por supuesto. Y el problema añadido es que en Madrid llueve poco, un tanto en otoño, algunas gotas en invierno y otro chubasco en primavera, el verano nada de nada, por eso se requiere tanta limpieza."
29,7,Conciencia medioambiental,La importancia de fomentar una mayor conciencia medioambiental entre los ciudadanos.,attack,"La única basura aceptable en un pueblo culto, es el polvo del ambiente, hojas de árboles, alguna rama y nada más. Todo lo demás proviene de la mano del hombre y no siempre de la mano Los papeles, latas, maderas, vidrios, botellas, plásticos, colillas, heces, vómitos, orines, etc. No llegaron solos a las calles, siempre hay un ciudadano sucio, resentido social, mal educado que expresa su mala conducta arrojando basura."
30,7,Inclusión de tecnologías y métodos modernos,La incorporación de tecnologías y métodos modernos en la limpieza y mantenimiento de las calles.,support,"Hola, creo que nuestras propuestas son complementarias. Propongo recoger y transportar la basura por la red de metro."
31,7,Inclusión de tecnologías y métodos modernos,La incorporación de tecnologías y métodos modernos en la limpieza y mantenimiento de las calles.,support,"Vivo en la zona latina y cerca zona Madrid río. Desde hace más de 2 meses no pasa nadie a limpiar las calles y cada vez que voy al colegio de mi hija tengo que ir esquivando las mierdas de los perros, palomas papeles publicidad de prostitutas y masajes orientales que dejan en los coches. Justo en Madrid río todo limpio pero qué pasa con las calles paralelas que les separa solamente un paso de peatones?"
32,7,Responsabilidad individual y colectiva,La importancia de la responsabilidad individual y colectiva en el mantenimiento de la limpieza de las calles.,support,"No es más limpio el que más limpia, sino el que menos ensucia."
33,7,Responsabilidad individual y colectiva,La importancia de la responsabilidad individual y colectiva en el mantenimiento de la limpieza de las calles.,support,"Creo que antes que limpiar, el ciudadano debería dejar de ensuciar. No cuesta nada guardarse un papel en la mano hasta encontrar una papelera."
34,7,Responsabilidad individual y colectiva,La importancia de la responsabilidad individual y colectiva en el mantenimiento de la limpieza de las calles.,support,"Y tampoco es necesario que haya papeleras a cada 50 metros, podemos aguantar un poquito más que eso sin tener que tirar la basura por donde nos apetezca."
35,7,Responsabilidad individual y colectiva,La importancia de la responsabilidad individual y colectiva en el mantenimiento de la limpieza de las calles.,attack,"Lo ideal es que no se manche, pero lo necesario es que se limpie. Culpar al ciudadano es lo habitual, pero pongo un simil para que se entienda."
36,7,Responsabilidad individual y colectiva,La importancia de la responsabilidad individual y colectiva en el mantenimiento de la limpieza de las calles.,attack,"Si entras en un bar con el suelo lleno de servilletas sucias yo no entro la tendencia es a tirar la servilletas, es un acto inconsciente. Si el bar está limpio buscarás la papelera."
37,7,Impacto en la salud y el bienestar,El impacto de la limpieza de las calles en la salud y el bienestar de los ciudadanos.,support,"Es lamentable el estado de las calles en la zona centro de Madrid, por no hablar ya en concreto de Malasaña, donde los vecinos tenemos que convivir rodeados de basura, calles llenas de orín, excrementos no solo de animales de 4 patas vómitos, botellas rotas."
38,7,Impacto en la salud y el bienestar,El impacto de la limpieza de las calles en la salud y el bienestar de los ciudadanos.,attack,¿De qué sirve limpiar a fondo un tiempo si después se deja de limpiar?
39,7,Impacto en la salud y el bienestar,El impacto de la limpieza de las calles en la salud y el bienestar de los ciudadanos.,attack,¡¿Qué no es prioritario la limpieza de una ciudad?!
40,19,Accesibilidad y Conectividad,"Mejora de la accesibilidad y conectividad entre la Plaza de España, Campo del Moro, Jardines de Sabatini, Madrid Río y Casa de Campo",support,"Totalmente de acuerdo, pero lo que más me indigna es que se podría unir con algo tan sencillo como abrir el campo del moro al público y los jardines de sabatino es decir que dejen de existir vallas y que se conecten esas zonas verdes Madrid río, casa campo, campo del moro y jardines de sabatini y sea para todos a todas horas."
41,19,Accesibilidad y Conectividad,"Mejora de la accesibilidad y conectividad entre la Plaza de España, Campo del Moro, Jardines de Sabatini, Madrid Río y Casa de Campo",support,Aprovechar la reforma de Plaza España para unirlo peatonalmente con Madrid Río.
42,19,Accesibilidad y Conectividad,"Mejora de la accesibilidad y conectividad entre la Plaza de España, Campo del Moro, Jardines de Sabatini, Madrid Río y Casa de Campo",support,Con una cuesta de San Vicente peatonal o más accesible podría ser una pasada bajar a Madrid Rio/Casa de campo rodeados del Campo del Moro y el Templo de Debod.
43,19,Accesibilidad y Conectividad,"Mejora de la accesibilidad y conectividad entre la Plaza de España, Campo del Moro, Jardines de Sabatini, Madrid Río y Casa de Campo",attack,"Yo no veo que sea tan fácil como lo plantea Zamuntx. Si pudiera hacerse según su idea, problemas 0 pero resulta que bajo la cuesta de San Viciente, pasa el trazado de la red de Renfe que va dirección a Pirámides, así como el trazado de la línea 10 de Metro."
44,19,Accesibilidad y Conectividad,"Mejora de la accesibilidad y conectividad entre la Plaza de España, Campo del Moro, Jardines de Sabatini, Madrid Río y Casa de Campo",attack,"Personalmente, apostaría por reducir el número de carriles de la calzada actualmente hay tres por sentido, más el carril bus/taxi. Dos carriles serían más que suficientes, se podría aumentar el ancho de la acera a ambos lados de la calle, e incluso se podría construir un carril seguro para los ciclistas."
45,19,Impacto Económico,Consideraciones sobre el costo y viabilidad económica de la propuesta,support,"Existe la creencia de que soterrar es caro, cuando realmente este tipo de túnel se denomina falso túnel, ya que consiste en abrir la calle, excavar 4 o 5 metros y cubrirlo con vigas y asfalto, sin tuneladoras."
46,19,Impacto Económico,Consideraciones sobre el costo y viabilidad económica de la propuesta,support,"La opción de Zamuntx es muy sensata, me parece que no se puede comparar la distancia que se soterró con la M30 con la que se soterraría con la cuesta de San Vicente, que sería mucho menor."
47,19,Impacto Económico,Consideraciones sobre el costo y viabilidad económica de la propuesta,attack,"Soterrar es caro vecin@. Y si no, recuerda la M-30 o el túnel de María de Molina."
48,19,Impacto Económico,Consideraciones sobre el costo y viabilidad económica de la propuesta,attack,"Además, tampoco hay que buscar el coste cero, porque si se quiere solucionar este problema, habrá que barajar entre distintas opciones, pero se tendrá que invertir dinero y buscar una solución que no sea un apaño para salir del paso, porque en ese caso no se soluciona el problema, sino que se evita afrontarlo."
49,19,Seguridad y Comodidad,Mejora de la seguridad y comodidad para peatones y ciclistas en la zona,support,"Totalmente de acuerdo, el entorno de la Plaza de España con todos sus túneles y la cuesta de San Vicente la convierten en un sitio tremendamente hostil para los peatones y los ciclistas. Es necesario acabar con eso."
50,19,Seguridad y Comodidad,Mejora de la seguridad y comodidad para peatones y ciclistas en la zona,support,"La cuesta es un infierno; a medida que subes se estrecha la carretera y las aceras de tal manera que si te cruzas con un autobús de subida y otro de bajada, casi te arroyan."
51,19,Prioridades Sociales,Consideraciones sobre otras prioridades sociales frente a la propuesta,attack,La propuesta es interesante pero me temo que nos estamos olvidando de temas que son prioritarios para la vida de muchas familias sin recursos que no pueden alimentar a sus hijos.
52,19,Prioridades Sociales,Consideraciones sobre otras prioridades sociales frente a la propuesta,attack,Os recuerdo que España es el país de la OCDE donde más avanzó la desigualdad durante la crisis.
53,19,Integración Urbana,Integración de espacios verdes y urbanos para mejorar la cohesión de la ciudad,support,"Ahora que se va a remodelar la Plaza de España sería una oportunidad de oro hacer peatonal la Cuesta de San Vicente para hacer una senda verde que una el centro con el Campo del Moro, Madrid Río y Casa de Campo."
54,19,Integración Urbana,Integración de espacios verdes y urbanos para mejorar la cohesión de la ciudad,support,Y por qué no construir escaleras que unan los Jardines del Campo del Moro a la Plaza de la Armeria y a los Jardines de Sabatini? No entiendo la lógica de que no estén conectados.
55,19,Conservación y Seguridad en Parques,Preocupaciones sobre la conservación y seguridad en los parques involucrados en la propuesta,attack,El cierre de los parques históricos por la noche es necesario para evitar el vandalismo.
56,19,Conservación y Seguridad en Parques,Preocupaciones sobre la conservación y seguridad en los parques involucrados en la propuesta,attack,"Se debería hacer un estudio serio sobre las alternativas, pero lo mejor serían los aparcamientos disuasorios y pensar que cualquier reducción de carriles afectaría también a los autobuses de la EMT como pasa en O'Donnell."
57,19,Impacto Ambiental,Consideraciones sobre el impacto ambiental de la propuesta,support,Recuperación del espacio público para los ciudadanos.
58,19,Impacto Ambiental,Consideraciones sobre el impacto ambiental de la propuesta,support,"El foco de contaminación para los vecinos y para toda la gente que quiere acceder al centro es inhumana, sin contar los ruidos y los peligros de tener una autopista en un lugar tan emblemático y con tanto tránsito."
59,19,Viabilidad Técnica,Desafíos técnicos y viabilidad de la implementación de la propuesta,attack,"No obstante la idea de continuar el túnel que ahora existe más allá de Príncipe Pío hasta Plaza de España para conectar con el túnel de Bailén es la única salida. Recordemos que esta vía es el único gran acceso desde el Oeste al Centro de la ciudad, carece de alternativas, dada la orografía tan especial de Madrid."
60,19,Viabilidad Técnica,Desafíos técnicos y viabilidad de la implementación de la propuesta,attack,"Efectivamente, creo que olvidamos algo fundamental, hay una salida de la M-30 que va a dar directamente a la Cuesta de San Vicente y es el paso obligado para poder acceder a la Avda de Portugal y la carretera de Extremadura, zonas muy pobladas y que necesitan que se les garantice la movilidad y el acceso al centro como cualquier otra zona."
61,50,Seguridad,La seguridad de los ciclistas y otros usuarios de la vía,support,Tienes un carril de la Castellana y de otras muchas calles que es para ir en bicicleta.
62,50,Seguridad,La seguridad de los ciclistas y otros usuarios de la vía,support,"En una vía con tanta circulación y habiendo suficiente espacio para poner un carril bicicleta, sería más seguro y conveniente separar el tráfico."
63,50,Seguridad,La seguridad de los ciclistas y otros usuarios de la vía,support,El nivel de seguridad en un carril bicicleta es casi pleno si lo comparamos rodando con tráfico.
64,50,Seguridad,La seguridad de los ciclistas y otros usuarios de la vía,attack,"Como viandante diaria entre semana del Paseo de la Castellana, no sé si esta propuesta mejoraría o empeoraría el problema, viendo el incivismo por parte de los ciclistas con los peatones."
65,50,Seguridad,La seguridad de los ciclistas y otros usuarios de la vía,attack,El riesgo real existe y si quieres te saco la estadística de ciclistas atropellados en los últimos años.
66,50,Seguridad,La seguridad de los ciclistas y otros usuarios de la vía,attack,"Miedo me da, en algunos casos los carriles bicicleta son más peligrosos, sobre todo en cruces."
67,50,Infraestructura,La adecuación y diseño de la infraestructura para el carril de bicicletas,support,Una opción muy buena que no generaría peligros en las intersecciones sería limitar el uso de los laterales a bicicletas permitiendo el paso a coches sólo para aparcamientos.
68,50,Infraestructura,La adecuación y diseño de la infraestructura para el carril de bicicletas,support,"Yo creo que por ejemplo, en el tramo norte de Joaquín Costa a Pza de Castilla se puede quitar todo el aparcamiento en batería y entre los árboles plantados hacer un buen carril bicicleta en ambos lados."
69,50,Infraestructura,La adecuación y diseño de la infraestructura para el carril de bicicletas,attack,Quien pida un carril segregado los conductores les puede impacientar tener un vehículo más lento.
70,50,Infraestructura,La adecuación y diseño de la infraestructura para el carril de bicicletas,attack,"Me cuesta creer que utilices la bicicleta por Madrid y estés en contra de esta medida, si visitas otras ciudades como Barcelona te das cuenta que aquí los ciclistas estamos vendidos."
71,50,Impacto Ambiental,El impacto de la propuesta en el medio ambiente y la sostenibilidad,support,Yo también utilizo la bicicleta en Madrid y creo que el ayuntamiento debería incidir más en crear infraestructuras en las arteria principales de Madrid para animar a todos cambiar el coche por la bicicleta.
72,50,Impacto Ambiental,El impacto de la propuesta en el medio ambiente y la sostenibilidad,support,Completamente de acuerdo: carril bicicleta y más carril bicicleta en las arterias de Madrid y veremos cómo los madrileños se suben a la bicicleta en lugar del coche.
73,50,Impacto Ambiental,El impacto de la propuesta en el medio ambiente y la sostenibilidad,attack,Si te importa el Medio Ambiente igual apoyarías también esta propuesta.
74,50,Cultura y Educación Vial,La influencia de la propuesta en la cultura y educación vial de los ciudadanos,support,"Apoyo la propuesta y lanzo esta complementaria. Una propuesta de regulación real de vehículos eléctricos ligeros, que ya se comercializan y que actualmente, en Madrid están en un limbo, cuando en otras ciudades y países son una realidad realmente efectiva, ecológica y sostenible."
75,50,Cultura y Educación Vial,La influencia de la propuesta en la cultura y educación vial de los ciudadanos,support,La segunda opción es la que mejor resuelve el problema sin duda.
76,50,Cultura y Educación Vial,La influencia de la propuesta en la cultura y educación vial de los ciudadanos,attack,"Obviamente Madrid no es una ciudad preparada para las bicicletas, tanto por la infraestructura como por la educación de los usuarios de las mismas."
77,50,Cultura y Educación Vial,La influencia de la propuesta en la cultura y educación vial de los ciudadanos,attack,"No debemos criminalizar un colectivo entero, basándonos en alguna que otra infracción de tráfico."
78,50,Cultura y Educación Vial,La influencia de la propuesta en la cultura y educación vial de los ciudadanos,attack,"Considero mejor otras opciones educación vial, calmado de tráfico en ese tramo, por ejemplo."
79,50,Accesibilidad y Conectividad,La mejora o deterioro de la accesibilidad y conectividad en la ciudad,support,Totalmente de acuerdo. Lo cierto es que mucho subimos en bicicleta por la castellana. Desde Legazpi o desde atocha. Y nos la jugamos todo el rato. Agradeceríamos este gesto del nuevo Ayuntamiento para con la movilidad y el aire de Madrid.
80,50,Accesibilidad y Conectividad,La mejora o deterioro de la accesibilidad y conectividad en la ciudad,support,También carriles bicicleta para conectar a Madrid capital con los municipios cercanos como Rivas.
81,50,Accesibilidad y Conectividad,La mejora o deterioro de la accesibilidad y conectividad en la ciudad,support,"Apoyo la propuestas, pero mientras me gustaría compartir una alternativa que yo uso: las calles paralelas como Modesto Lafuente y Ponzano para bajar y Alonso Cano para subir tienen poco tráfico, son anchas y se circula bien en bicicleta."
82,50,Accesibilidad y Conectividad,La mejora o deterioro de la accesibilidad y conectividad en la ciudad,attack,"A Rivas se puede iren bicicleta por caminos. De momento es la solución. De todas formas es competencia de la Comunidad, y habría que presionar al Ayuntamiento para que solicitara algo así a Cifuentes."
83,50,Accesibilidad y Conectividad,La mejora o deterioro de la accesibilidad y conectividad en la ciudad,attack,La clave es usar rutas alternativas. La castellana con carril bicicleta seguirá siendo una mala alternativa para los colectivos que describes.
84,50,Accesibilidad y Conectividad,La mejora o deterioro de la accesibilidad y conectividad en la ciudad,attack,"Esta programado para 2016 un plan de 33 vías ciclistas, entre ellas se encuentra el paseo de la Castellana, pero considero mejor otras opciones educación vial, calmado de tráfico."
85,50,Impacto Social,El efecto de la propuesta en la sociedad y la percepción pública,support,Una propuesta muy buena que no generaría peligros en las intersecciones sería limitar el uso de los laterales a bicicletas permitiendo el paso a coches sólo para aparcamientos.
86,50,Impacto Social,El efecto de la propuesta en la sociedad y la percepción pública,support,"Ya es la hora de hacer esto. Me parece una vergüenza que no se lo ha hecho hace años, no sería por falta de espacio."
87,50,Impacto Social,El efecto de la propuesta en la sociedad y la percepción pública,support,Estoy de acuerdo con ABG 4 carriles en cada sentido para los vehículos motorizados convierten un bulevar en una autopista. Quitar un carril en cada sentido para dárselo a las bicicletas es beneficioso para todos.
88,50,Impacto Social,El efecto de la propuesta en la sociedad y la percepción pública,attack,El colectivo en bicicleta por Madrid propone varias alternativas al problema. Podeis echarle un vistazo en esta web.
89,50,Impacto Social,El efecto de la propuesta en la sociedad y la percepción pública,attack,"Ya se que no estás persiguiendo a nadie, pero infracciones de tráficos se ven todos los días por parte de coches, taxistas, autobuseros, ciclistas."
90,50,Impacto Social,El efecto de la propuesta en la sociedad y la percepción pública,attack,"El uso de la bicicleta, no tiene que conllevar un perjuicio para el peatón. La bicicleta es un medio de transporte más, muy útil en la ciudad de Madrid, y puede sustituir al coche como opción para moverse dentro de la ciudad."
91,50,Viabilidad Económica,La factibilidad económica de implementar la propuesta,support,El Ayuntamiento de Madrid invertirá más de 40 millones en completar la red de ciclo-carriles.
92,50,Viabilidad Económica,La factibilidad económica de implementar la propuesta,support,Con este dinero se podría hacer el carril: [enlace a propuesta].
93,50,Viabilidad Económica,La factibilidad económica de implementar la propuesta,support,"Si quitas un carril en cada sentido a los coches, adquiere mucha más visibilidad a la vez que bloquea el tráfico. Por tanto, si una persona se queda parada en un atasco y ve gente circular mucho más rápido por el carril bicicleta, quizás se replantee el uso del vehículo motorizado."
94,50,Viabilidad Económica,La factibilidad económica de implementar la propuesta,attack,Cuanto estas dispuesto a pagar por tener un bulevar o más kilómetros de carril bicicleta? Los automóviles pagan un impuesto.
95,50,Viabilidad Económica,La factibilidad económica de implementar la propuesta,attack,Plan anti grafitis. Acabemos con esta lacra: [enlace a propuesta].
96,50,Viabilidad Económica,La factibilidad económica de implementar la propuesta,attack,"Yo estoy de acuerdo en que sería importante hacer un carril bicicleta en la castellana, pero por el bulevar peatonal que ya de por si tiene una anchura considerable. Me parece que lo que se ha hecho actualmente pintando una bicicleta en un carril de los dos que tiene el lateral es una chapuza que esta ocasionando accidentes tanto para los ciclistas sobretodo turistas como con los conductores."
97,61,Seguridad Vial,La seguridad en las carreteras al conducir.,support,"La seguridad mejora en carreteras sin iluminación externa, ya que los conductores centran la atención en lo que importa: la carretera y los coches, que quedan suficientemente iluminados con los faros de los coches."
98,61,Seguridad Vial,La seguridad en las carreteras al conducir.,support,"Países más seguros como Alemania, Reino Unido, etc., no tienen iluminación alguna en las carreteras."
99,61,Seguridad Vial,La seguridad en las carreteras al conducir.,attack,Creo que es de vital importancia pues hay muchos tramos de carreteras y vías en las que es muy peligroso circular por su poca visibilidad y más aun cuando existe ya la iluminación instalada hace tiempo.
100,61,Seguridad Vial,La seguridad en las carreteras al conducir.,attack,"Es un tema que hay que estudiar con cuidado, varios estudios indican que en las autopistas, por ejemplo, hay más accidentes cuando hay luz."
101,61,Energía y Sostenibilidad,El uso de energías renovables en la iluminación de carreteras.,support,"Incluso propondría dentro de esta propuesta que se abasteciera con energías renovables, preferentemente pequeñas placas solares en cada farola."
102,61,Eficiencia Energética,La reducción de consumo energético en la iluminación de carreteras.,support,"O encender una farola de cada dos, pero en toda la autopista."
103,61,Impacto Ambiental,La contaminación lumínica y su impacto en el medio ambiente.,support,Tenemos nueva propuesta para hacer un estudio de impacto ambiental de la Contaminación lumínica de Madrid.
104,61,Gestión Pública,Problemas en la gestión y mantenimiento del alumbrado público.,attack,El Ayuntamiento de Madrid ha cortado la luz debido a que el Ministerio no paga y en la zona de Pozuelo de momento hay alumbrado.
105,61,Gestión Pública,Problemas en la gestión y mantenimiento del alumbrado público.,attack,"La razón muy simple, han desvalijado el centro de transformación, no quedan ni las puertas. No habrá luz, pero tampoco funcionan los radares. España es así."
106,61,Eficiencia Regulatoria,Normativas sobre la eficiencia energética en alumbrado público.,support,"El Reglamento de Eficiencia Energética de Alumbrado Exterior ya establece que en función del tráfico en carreteras o de peatones en aceras, el alumbrado pude rebajarse la iluminancia hasta en un 50 incluso con sensores de presencia que vuelvan al 100 al paso de vehículos y personas."
107,72,Impacto en los trabajadores,Consideración de las condiciones laborales y el bienestar de los empleados de los centros comerciales,support,"Los trabajadores de los centros también tenemos derecho a estar con la familia, descansar, hacer vida."
108,72,Impacto en los trabajadores,Consideración de las condiciones laborales y el bienestar de los empleados de los centros comerciales,support,"Creo que la conciliación laboral es un derecho, que esta ley ha quitado."
109,72,Impacto en los trabajadores,Consideración de las condiciones laborales y el bienestar de los empleados de los centros comerciales,support,Los centros comerciales deberían cerrar todos los festivos y domingos.
110,72,Impacto en los trabajadores,Consideración de las condiciones laborales y el bienestar de los empleados de los centros comerciales,attack,A tener en cuenta que menos horas de apertura significan menos horas de trabajo y menos empleados o reducción de jornadas.
111,72,Impacto en los trabajadores,Consideración de las condiciones laborales y el bienestar de los empleados de los centros comerciales,attack,Otras ventajas del trabajo en fin de semana es que puede ser compatible con estudios u otras actividades y que debería redundar en más gente contratada no la misma gente pero más explotada.
112,72,Impacto en los trabajadores,Consideración de las condiciones laborales y el bienestar de los empleados de los centros comerciales,attack,Es cuestión de controlar a los empresarios.
113,72,Impacto económico,Evaluación de las consecuencias económicas de cerrar los centros comerciales en días festivos y domingos,support,Antiguamente no había apertura del centro comercial y no pasaba nada todo el mundo hacía sus compras igualmente.
114,72,Impacto económico,Evaluación de las consecuencias económicas de cerrar los centros comerciales en días festivos y domingos,support,Antes se abría un domingo al mes y todos nos apañábamos.
115,72,Impacto económico,Evaluación de las consecuencias económicas de cerrar los centros comerciales en días festivos y domingos,attack,Te echarían a la calle si no abrieran los domingos ya que venderían menos.
116,72,Impacto económico,Evaluación de las consecuencias económicas de cerrar los centros comerciales en días festivos y domingos,attack,"La ecuación es la siguiente, más ventas = a más empleados."
117,72,Calidad de vida y ocio,Reflexión sobre cómo afecta la apertura de centros comerciales en festivos y domingos a la calidad de vida y actividades de ocio,support,Los sábados y domingos la mayoría se dedican a ir para pasear por que se aburren en casa.
118,72,Calidad de vida y ocio,Reflexión sobre cómo afecta la apertura de centros comerciales en festivos y domingos a la calidad de vida y actividades de ocio,support,"Salvemos la vida de los barrios, consumamos cultura, ocio, paseos."
119,72,Calidad de vida y ocio,Reflexión sobre cómo afecta la apertura de centros comerciales en festivos y domingos a la calidad de vida y actividades de ocio,support,"En lugar de estar paseando, fomentando la cultura en un museo, en el cine, teatro."
120,72,Derechos laborales,Enfoque en el respeto y cumplimiento de los derechos laborales de los trabajadores de centros comerciales,support,"Es increíble que a los trabajadores nos obliguen a trabajar en festivos, y si no te echan a la calle."
121,72,Derechos laborales,Enfoque en el respeto y cumplimiento de los derechos laborales de los trabajadores de centros comerciales,support,"Lo que hay que tener en cuenta, es, que más horas de apertura no conlleva mayor cantidad de empleados."
122,72,Derechos laborales,Enfoque en el respeto y cumplimiento de los derechos laborales de los trabajadores de centros comerciales,support,Siempre sale el discurso solidario del -yo es que no puedo ir a comprar cuando quiero- inaudito.
123,72,Derechos laborales,Enfoque en el respeto y cumplimiento de los derechos laborales de los trabajadores de centros comerciales,attack,"Aunque sea Lcdo. En CCEE y Dir. De RRHH de una multinacional, no debato ni discuto con gente que como usted Intenta menospreciar y hace comentarios tan simplistas."
124,72,Derechos laborales,Enfoque en el respeto y cumplimiento de los derechos laborales de los trabajadores de centros comerciales,attack,Pues que también cierren los hospitales los fines de semana. Porque nosotros tb tenemos familia y libramos a diario.
125,72,Impacto social,Evaluación del efecto de la propuesta en la sociedad y la vida comunitaria,support,Apoyo la propuesta y te invito a que apoyes Mayor cuidado del centro de Madrid Gracias!.
126,72,Impacto social,Evaluación del efecto de la propuesta en la sociedad y la vida comunitaria,support,"Hay que conciliar la vida laboral con la familiar. Por favor, ayuden esta propuesta."
127,72,Impacto social,Evaluación del efecto de la propuesta en la sociedad y la vida comunitaria,support,"Esto dejará de ser un problema cuando se racionalicen los horarios estilo español de 9 a 21h, llegue la conciliación laboral y familiar de verdad y los salarios sean europeos y no bananeros."
128,72,Impacto social,Evaluación del efecto de la propuesta en la sociedad y la vida comunitaria,attack,Mejor que cerrar. Regular correctamente para que no se produzcan abusos.
